IMO Number,CO₂ emissions per distance [kg CO₂ / n mile],CO₂eq emissions per distance [kg CO₂eq / n mile]
1013664,Division by zero!,Division by zero!
1013676,234.32,237.96
1014591,165.15,167.75
1014606,196.4,199.47
1014618,184.09,186.97
1014838,175.51,178.27
1014840,213.62,216.94
1014979,178.31,181.1
1015155,212.89,216.24
1015313,206.75,209.98
1015325,201.22,204.38
1023736,156.46,158.9
1024455,240.33,244.1
1039357,220.17,223.62
1044508,202.86,206.04
1045227,191.72,194.73
1045356,Division by zero!,Division by zero!
1080978,Division by zero!,Division by zero!
6602898,Division by zero!,Division by zero!
7037806,215.65,218.96
7043843,209.22,212.46
7207451,331.13,336.31
7226952,127.82,129.77
7230599,313.76,318.57
7310507,Division by zero!,Division by zero!
7326893,Division by zero!,Division by zero!
7346221,425.01,431.64
7349039,351.41,356.82
7350090,404.67,410.93
7358755,415.14,421.55
7361312,725.31,736.66
7361324,741.39,753.02
7407324,Division by zero!,Division by zero!
7422881,285.65,290.04
7426045,321.58,326.58
7429669,306.5,311.3
7432733,357.61,363.13
7516773,312.32,317.21
7527306,Division by zero!,Division by zero!
7528611,285.69,290.16
7528635,362.07,367.73
7602089,458.16,465.17
7602120,476.56,483.86
7625811,Division by zero!,Division by zero!
7633143,505.98,513.73
7633155,272.61,276.79
7633375,212.67,215.93
7719430,340.99,346.21
7724265,223.59,227.02
7725362,89.6,90.97
7802794,165.25,167.78
7803190,578.96,588.03
7803205,515.31,523.21
7807744,389.09,395.13
7811329,Division by zero!,Division by zero!
7813949,250.32,254.19
7814058,652.71,662.92
7814462,398.74,404.93
7822457,547.6,555.99
7825978,251.38,255.23
7826788,612.24,621.73
7826790,681.54,692.17
7826855,278.05,282.4
7826867,320.92,325.93
7827213,4135.88,4199.46
7827225,367.59,373.33
7901760,484.08,491.49
7907245,483.59,491.09
7907659,651.98,662.09
7907661,549.04,557.58
7907673,852.61,866
7911533,775.19,787.32
7915278,416.91,423.47
7926148,359.9,365.53
7928160,168.51,171.09
7928811,426.19,432.84
7931454,513.6,521.69
7931985,Division by zero!,Division by zero!
8000226,368.7,374.35
8000836,124.01,125.9
8001024,164.89,167.41
8009076,263.17,267.27
8009545,137,139.13
8019356,206.8,209.97
8019368,146.08,148.32
8020599,329.41,334.58
8020642,555.53,564.17
8020927,329.26,334.41
8025381,139.74,141.9
8027573,128.86,130.84
8105404,124.45,126.4
8107000,107.5,109.15
8110681,338.07,343.35
8121020,161.41,163.88
8125454,126.03,128.01
8129321,110.04,111.73
8130875,647.15,657.06
8130899,550.24,558.67
8200577,143.63,145.86
8201480,624.96,634.53
8202018,693.13,703.95
8203660,152.72,155.09
8204250,Division by zero!,Division by zero!
8204731,Division by zero!,Division by zero!
8208763,455.53,462.67
8209626,159.95,162.43
8214889,118.97,120.82
8219906,832.03,844.77
8219918,499.37,507.02
8300169,198.72,201.85
8306486,643.82,653.93
8306498,641.46,651.55
8311900,291.69,296.23
8311924,403.18,409.39
8312643,Division by zero!,Division by zero!
8317954,281.66,286.05
8320573,533.58,541.96
8401145,178.95,181.69
8401444,353.51,359
8404276,170.92,173.54
8405191,256.05,260.01
8408648,98.45,99.98
8408650,136.37,138.49
8414582,655.36,665.59
8414726,367.7,373.48
8414738,364.78,370.5
8415794,225.68,229.22
8416308,536.24,544.61
8417118,201.95,205.11
8418174,364.92,370.59
8418265,113.53,115.3
8420842,362.58,368.23
8420878,144.09,146.3
8500484,160.48,162.96
8500630,293.14,297.64
8501464,205.93,209.16
8501957,1252.47,1271.85
8502391,444.35,451.36
