OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,Latitude,Longitude
0,7950,United States E Coast -- 6585,Maurer, , ,United States,North Atlantic Ocean,40.53,-74.25
1,47620,Madagascar -- 47350,Iharana, , ,Madagascar,Indian Ocean,-13.35,50.00
2,47020,Tanzania -- 46965,Chake Chake, , ,Tanzania,Indian Ocean,-5.25,39.77
3,47005,Tanzania -- 46965,Mjimwema Terminal, , ,Tanzania,Indian Ocean,-6.82,39.37
4,44804,Turkey Asia -- 44360,Delta Terminal, , ,Turkey,Mediterranean Sea; North Atlantic Ocean,36.85,36.17
5,50350,Indonesia -- 50020,Cinta Oil Terminal, , ,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean",-5.50,106.23
6,38330,Gibraltar -- 38320,Europa Point, , ,Gibraltar,Strait of Gibraltar; North Atlantic Ocean,36.13,-5.35
7,7010,United States E Coast -- 6585,New Harbor, , ,United States,North Atlantic Ocean,43.87,-69.48
8,12900,Brazil SE Coast -- 12700,Dtse / Gegua Oil Terminal, , ,Brazil,South Atlantic Ocean,-22.82,-43.15
9,48104,Saudi Arabia -- 48100,Sharmah,Ash Sharmah, ,Saudi Arabia,Red Sea; Indian Ocean,27.93,35.25
10,9210,US Gulf Coast -- 8650,Norsworthy, , ,United States,Gulf of Mexico; North Atlantic Ocean,29.73,-95.20
11,6750,United States E Coast -- 6585,Minturn, , ,United States,North Atlantic Ocean,44.15,-68.45
12,6820,United States E Coast -- 6585,Criehaven, , ,United States,North Atlantic Ocean,43.83,-68.88
13,46691,Ascension -- 46660,North Point, , ,"Saint Helena, Ascension, and Tristan da Cunha",South Atlantic Ocean,-7.88,-14.37
14,57433,Thailand -- 57431,Bongkot Terminal, , ,Thailand,Gulf of Thailand; South China Sea; North Pacific Ocean,8.05,102.33
15,52350,Sulawesi -- 51970,Donggala, , ,Indonesia,Makassar Strait; South Pacific Ocean,-0.65,119.73
16,42415,Greece East Coast -- 42010,Larimna,Larmes, ,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean,38.57,23.28
17,38420,Spain SE Coast -- 38340,Hornillo, , ,Spain,Mediterranean Sea; North Atlantic Ocean,37.40,-1.55
18,40245,Italy -- 39125,Melilli Oil Terminal, , ,Italy,Mediterranean Sea; North Atlantic Ocean,37.12,15.25
19,47942,Sudan -- 47910,Al Khair Oil Terminal, , ,Sudan,Red Sea; Indian Ocean,19.58,37.25
20,6670,United States E Coast -- 6585,Corea, , ,United States,North Atlantic Ocean,44.40,-67.97
