Vessel Characteristics,Size,Unit,Fuel,Emission intensity (g CO2e/t-km)
Bulk carrier,0-9999,dwt,HFO,35.9
Bulk carrier,0-9999,dwt,VLSFO,36.9
Bulk carrier,0-9999,dwt,MDO,35
Bulk carrier,10000-34999,dwt,HFO,9.8
Bulk carrier,10000-34999,dwt,VLSFO,10.1
Bulk carrier,10000-34999,dwt,MDO,9.6
Bulk carrier,35000-59999,dwt,HFO,7.2
Bulk carrier,35000-59999,dwt,VLSFO,7.4
Bulk carrier,35000-59999,dwt,MDO,7
Bulk carrier,60000-99999,dwt,HFO,5.9
Bulk carrier,60000-99999,dwt,VLSFO,6.1
Bulk carrier,60000-99999,dwt,MDO,5.8
Bulk carrier,100000-199999,dwt,HFO,4
Bulk carrier,100000-199999,dwt,VLSFO,4.1
Bulk carrier,100000-199999,dwt,MDO,3.9
Bulk carrier,200000-+,dwt,HFO,3.6
Bulk carrier,200000-+,dwt,VLSFO,3.7
Bulk carrier,200000-+,dwt,MDO,3.5
Chemical tanker,0-4999,dwt,HFO,69.3
Chemical tanker,0-4999,dwt,VLSFO,71.4
Chemical tanker,0-4999,dwt,MDO,67.7
Chemical tanker,5000-9999,dwt,HFO,30.7
Chemical tanker,5000-9999,dwt,VLSFO,31.6
Chemical tanker,5000-9999,dwt,MDO,30
Chemical tanker,10000-19999,dwt,HFO,20.9
Chemical tanker,10000-19999,dwt,VLSFO,21.5
Chemical tanker,10000-19999,dwt,MDO,20.4
Chemical tanker,20000-39999,dwt,HFO,12.8
Chemical tanker,20000-39999,dwt,VLSFO,13.2
Chemical tanker,20000-39999,dwt,MDO,12.5
Chemical tanker,40000-+,dwt,HFO,9.8
Chemical tanker,40000-+,dwt,VLSFO,10.1
Chemical tanker,40000-+,dwt,MDO,9.6
General cargo,0-4999,dwt,HFO,30.4
General cargo,0-4999,dwt,VLSFO,31.3
General cargo,0-4999,dwt,MDO,29.7
General cargo,5000-9999,dwt,HFO,24.5
General cargo,5000-9999,dwt,VLSFO,25.2
General cargo,5000-9999,dwt,MDO,23.9
General cargo,10000-19999,dwt,HFO,21.8
General cargo,10000-19999,dwt,VLSFO,22.4
General cargo,10000-19999,dwt,MDO,21.3
General cargo,20000-+,dwt,HFO,11.3
General cargo,20000-+,dwt,VLSFO,11.6
General cargo,20000-+,dwt,MDO,11
Liquefied gas tanker,0-49999,cbm,HFO,54.5
Liquefied gas tanker,0-49999,cbm,VLSFO,56.1
Liquefied gas tanker,0-49999,cbm,MDO,53.2
Liquefied gas tanker,50000-99999,cbm,HFO,15.8
Liquefied gas tanker,50000-99999,cbm,VLSFO,16.3
Liquefied gas tanker,50000-99999,cbm,MDO,15.4
Liquefied gas tanker,100000-199999,cbm,HFO,12.5
Liquefied gas tanker,100000-199999,cbm,VLSFO,12.8
Liquefied gas tanker,100000-199999,cbm,MDO,12.2
Liquefied gas tanker,200000-+,cbm,HFO,13.2
Liquefied gas tanker,200000-+,cbm,VLSFO,13.6
Liquefied gas tanker,200000-+,cbm,MDO,12.9
Oil tanker,0-4999,dwt,HFO,99
Oil tanker,0-4999,dwt,VLSFO,101.9
Oil tanker,0-4999,dwt,MDO,96.7
Oil tanker,5000-9999,dwt,HFO,54.3
Oil tanker,5000-9999,dwt,VLSFO,55.9
Oil tanker,5000-9999,dwt,MDO,53.1
Oil tanker,10000-19999,dwt,HFO,42.5
Oil tanker,10000-19999,dwt,VLSFO,43.8
Oil tanker,10000-19999,dwt,MDO,41.5
Oil tanker,20000-59999,dwt,HFO,20.8
Oil tanker,20000-59999,dwt,VLSFO,21.4
Oil tanker,20000-59999,dwt,MDO,20.3
Oil tanker,60000-79999,dwt,HFO,11.9
Oil tanker,60000-79999,dwt,VLSFO,12.2
Oil tanker,60000-79999,dwt,MDO,11.6
